id,scheduled_date,weekday,cluster,pillar_url,primary_keyword,search_intent,proposed_title,proposed_slug,secondary_keywords,category,status,published_slug,published_url,notes
1,2026-06-30,Monday,Brain,/brain-surgery/,brain tumour surgery Dubai,procedure,Brain Tumour Surgery in Dubai: Types Process and Recovery,brain-tumour-surgery-dubai,"glioma surgery; brain cancer treatment; neurosurgeon Dubai; brain tumour symptoms",Brain Surgery,queued,,,Pillar link: /brain-surgery/
2,2026-07-02,Wednesday,Spine,/spinal-surgery/,lumbar disc herniation treatment,condition,Lumbar Disc Herniation: Non-Surgical Care vs Microdiscectomy,lumbar-disc-herniation-treatment,"herniated disc; lower back pain; sciatica; microdiscectomy Dubai",Spinal Surgery,queued,,,Avoid overlap with broad MISS post
3,2026-07-04,Friday,Pituitary,/endoscopic-pituitary-surgery/,pituitary adenoma symptoms,condition,Pituitary Adenoma Symptoms: Hormones Vision and When to Seek Help,pituitary-adenoma-symptoms,"pituitary tumour; hormone imbalance; vision problems; MRI pituitary",Neurosurgery,queued,,,Links to endoscopic pituitary pillar
4,2026-07-07,Monday,Patient Journey,/brain-surgery/,neurosurgery consultation what to expect,informational,Your First Neurosurgery Consultation: What to Bring and Expect,neurosurgery-consultation-expectations,"second opinion; medical records; brain MRI; spine MRI; patient questions",Neurosurgery,queued,,,CTA to consultation modal
5,2026-07-09,Wednesday,Local SEO,/brain-surgery/,neurosurgeon Dubai brain tumour,local,Neurosurgeon in Dubai for Brain Tumours: Finding Specialist Care,neurosurgeon-dubai-brain-tumour,"brain surgeon Dubai; brain tumour specialist; neurosurgery UAE",Brain Surgery,queued,,,Local intent — do not duplicate post #1 body angle
6,2026-07-11,Friday,Brain,/brain-surgery/,glioma treatment options,condition,Glioma Treatment Options: Surgery Radiation and What to Expect,glioma-treatment-options,"low grade glioma; high grade glioma; awake surgery; neuro-oncology",Brain Surgery,queued,,,Condition-specific not broad AI post
7,2026-07-14,Monday,Spine,/spinal-surgery/,cervical disc herniation surgery,procedure,Cervical Disc Herniation: Neck Pain Arm Pain and Surgical Options,cervical-disc-herniation-surgery,"neck pain radiating arm; ACDF; cervical microdiscectomy; spine surgeon",Spinal Surgery,queued,,,Distinct from lumbar post
8,2026-07-16,Wednesday,Pituitary,/endoscopic-pituitary-surgery/,endoscopic pituitary surgery guide,procedure,Endoscopic Pituitary Surgery: A Step-by-Step Patient Guide,endoscopic-pituitary-surgery-guide,"transsphenoidal surgery; pituitary recovery; skull base surgery",Neurosurgery,queued,,,Procedure guide for pillar page
9,2026-07-18,Friday,Patient Journey,/spinal-surgery/,spinal surgery recovery guide,informational,Spinal Surgery Recovery: Pain Management Physio and Red Flags,spinal-surgery-recovery-guide,"post-op spine care; physiotherapy; return to work; wound care",Spinal Surgery,queued,,,Complements spinal-cord-injuries post different intent
10,2026-07-21,Monday,Local SEO,/spinal-surgery/,spine surgeon Tehran herniated disc,local,Spine Surgeon in Tehran for Herniated Disc Treatment,spine-surgeon-tehran-herniated-disc,"disc surgery Iran; lumbar spine specialist Tehran; neurosurgeon Tehran",Spinal Surgery,queued,,,Local Tehran angle
11,2026-07-23,Wednesday,Brain,/brain-surgery/,meningioma surgery recovery,condition,Meningioma Surgery: Symptoms Treatment and Recovery Timeline,meningioma-surgery-recovery,"benign brain tumour; craniotomy recovery; brain tumour surgery",Brain Surgery,queued,,,
12,2026-07-25,Friday,Spine,/spinal-surgery/,spinal stenosis surgery options,condition,Spinal Stenosis Surgery: Laminectomy Fusion and Minimally Invasive Care,spinal-stenosis-surgery-options,"lumbar stenosis; neurogenic claudication; decompression surgery",Spinal Surgery,queued,,,
13,2026-07-28,Monday,Pituitary,/endoscopic-pituitary-surgery/,prolactinoma treatment,condition,Prolactinoma: Medication vs Surgery Explained,prolactinoma-treatment,"prolactin levels; dopamine agonist; pituitary microadenoma",Neurosurgery,queued,,,
14,2026-07-30,Wednesday,Patient Journey,/brain-surgery/,brain surgery recovery timeline,informational,Brain Surgery Recovery: Hospital Stay Healing and Return to Work,brain-surgery-recovery-timeline,"post craniotomy care; swelling; fatigue; rehabilitation",Brain Surgery,queued,,,
15,2026-08-01,Friday,Local SEO,/medical-tourism/,medical tourism neurosurgery Dubai,local,Medical Tourism for Neurosurgery in Dubai: Planning Your Visit,medical-tourism-neurosurgery-dubai,"international patients; visa; hospital stay; neurosurgery travel",Neurosurgery,queued,,,Links /medical-tourism/
16,2026-08-04,Monday,Brain,/brain-surgery/,awake brain surgery benefits,procedure,Awake Craniotomy: When It Is Used and Patient Benefits,awake-brain-surgery-benefits,"eloquent cortex; brain mapping; tumour resection awake",Brain Surgery,queued,,,Specific procedure not future-of-brain-surgery
17,2026-08-06,Wednesday,Spine,/spinal-surgery/,scoliosis surgery adults,condition,Scoliosis in Adults: When Surgery Is Recommended,scoliosis-surgery-adults,"adult spinal deformity; spinal fusion scoliosis; back curvature",Spinal Surgery,queued,,,
18,2026-08-08,Friday,Pituitary,/endoscopic-pituitary-surgery/,cushing disease pituitary surgery,condition,Cushing Disease and Pituitary Surgery: What Patients Should Know,cushing-disease-pituitary-surgery,"ACTH; cortisol; transsphenoidal; hormone testing",Neurosurgery,queued,,,
19,2026-08-11,Monday,Patient Journey,/spinal-surgery/,when back pain needs surgery,informational,When Back Pain Needs Surgery: Signs You Should Not Ignore,when-back-pain-needs-surgery,"red flags; cauda equina; progressive weakness; MRI findings",Spinal Surgery,queued,,,
20,2026-08-13,Wednesday,Local SEO,/endoscopic-pituitary-surgery/,pituitary surgery Dubai,local,Pituitary Surgery in Dubai: Specialist Care and Patient Pathway,pituitary-surgery-dubai,"pituitary specialist Dubai; hormone clinic; skull base team",Neurosurgery,queued,,,
21,2026-08-15,Friday,Brain,/brain-surgery/,cerebral aneurysm treatment,condition,Cerebral Aneurysm: Clipping Coiling and When Surgery Is Needed,cerebral-aneurysm-treatment,"subarachnoid haemorrhage; endovascular coiling; aneurysm clipping",Brain Surgery,queued,,,
22,2026-08-18,Monday,Spine,/spinal-surgery/,chiari malformation surgery,condition,Chiari Malformation: Symptoms Diagnosis and Decompression Surgery,chiari-malformation-surgery,"headache; syrinx; posterior fossa decompression; brainstem",Spinal Surgery,queued,,,Cross cluster brain-spine
23,2026-08-20,Wednesday,Pituitary,/endoscopic-pituitary-surgery/,pituitary tumour vision loss,condition,Pituitary Tumours and Vision Loss: Optic Chiasm Compression Explained,pituitary-tumour-vision-loss,"bitemporal hemianopia; visual field test; urgent referral",Neurosurgery,queued,,,
24,2026-08-22,Friday,Patient Journey,/brain-surgery/,second opinion neurosurgery,informational,Getting a Second Opinion Before Neurosurgery: How and Why,second-opinion-neurosurgery,"complex case review; MRI second read; treatment options",Neurosurgery,queued,,,
25,2026-08-25,Monday,Local SEO,/brain-surgery/,neurosurgeon Tehran second opinion,local,Neurosurgeon in Tehran: Second Opinions for Complex Cases,neurosurgeon-tehran-second-opinion,"brain surgery Iran; complex tumour; referral Tehran",Brain Surgery,queued,,,
26,2026-08-27,Wednesday,Brain,/brain-surgery/,trigeminal neuralgia surgery,condition,Trigeminal Neuralgia: Medical Treatment vs Microvascular Decompression,trigeminal-neuralgia-surgery,"facial pain; MVD surgery; nerve pain treatment",Brain Surgery,queued,,,
27,2026-08-29,Friday,Spine,/spinal-surgery/,spondylolisthesis treatment,condition,Spondylolisthesis: Grades Symptoms and Spinal Fusion Options,spondylolisthesis-treatment,"slipped vertebra; pars defect; spinal instability; fusion",Spinal Surgery,queued,,,
28,2026-09-01,Monday,Pituitary,/endoscopic-pituitary-surgery/,acromegaly pituitary treatment,condition,Acromegaly: Diagnosis Pituitary Surgery and Long-Term Care,acromegaly-pituitary-treatment,"growth hormone; pituitary macroadenoma; endocrinology team",Neurosurgery,queued,,,
29,2026-09-03,Wednesday,Patient Journey,/physiotherapy/,neurosurgery risks benefits,informational,Neurosurgery Risks and Benefits: Informed Decision-Making for Patients,neurosurgery-risks-benefits,"informed consent; complication rates; shared decision making",Neurosurgery,queued,,,Links /physiotherapy/ where relevant
30,2026-09-05,Friday,Local SEO,/medical-tourism/,medical tourism spine surgery Tehran,local,Medical Tourism for Spine Surgery in Tehran: Planning Safe Care,medical-tourism-spine-surgery-tehran,"spine surgery Iran; travel for surgery; rehabilitation plan",Spinal Surgery,queued,,,Pairs with Dubai medical tourism post
